"id,N,11,0","id_invoice,N,16,0","type_doc,C,3","name_doc,C,50","data_doc,D","blank_cod,C,6","seria,C,2","numdoc,C,128","descript_d,C,150","n_plat_t,C,10"
69450,75952,603,,06.07.2017,,ДИ,0187690,,
69451,75953,603,,06.07.2017,,ДИ,0188220,,
69452,75954,603,,06.07.2017,,ДИ,0188216,,
69453,75955,603,,06.07.2017,,ДИ,0187682,,
69454,75956,603,,06.07.2017,,ДИ,0187681,,
69455,75957,603,,06.07.2017,,ДИ,0188209,,
69456,75958,603,,06.07.2017,,ДИ,0187691,,
69457,75959,603,,06.07.2017,,ДИ,0187692,,
69458,75960,603,,06.07.2017,,ДИ,0188210,,
69459,75961,603,,06.07.2017,,ДИ,0187687,,
69460,75962,603,,06.07.2017,,ДИ,0187688,,
69461,75963,603,,06.07.2017,,ДИ,0187693,,
69462,75964,603,,06.07.2017,,ДИ,0187689,,
69463,75965,603,,06.07.2017,,ДИ,0187699,,
69464,75966,603,,06.07.2017,,ДИ,0187683,,
69465,75967,603,,06.07.2017,,ДИ,0187694,,
69466,75968,603,,06.07.2017,,ДИ,0187698,,
69467,75969,603,,06.07.2017,,ДИ,0188208,,
69468,75970,603,,06.07.2017,,ДИ,0188207,,
69469,75971,603,,06.07.2017,,ДИ,0188211,,
69470,75972,603,,06.07.2017,,ДИ,0188205,,
69471,75973,603,,06.07.2017,,ДИ,0188206,,
69472,75974,603,,06.07.2017,,ДИ,0188219,,
69473,75975,603,,06.07.2017,,ДИ,0188202,,
69474,75976,603,,06.07.2017,,ДИ,0188203,,
69475,75977,603,,06.07.2017,,ДИ,0188201,,
69476,75978,603,,06.07.2017,,ДИ,0188221,,
69477,75979,603,,06.07.2017,,ДИ,0188204,,
69478,75980,603,,06.07.2017,,ДИ,0188214,,
69479,75981,603,,06.07.2017,,ДИ,0185744,,
69480,75982,603,,07.07.2017,,ДИ,0188227,,
69481,75983,603,,07.07.2017,,ДИ,0188231,,
69482,75984,603,,07.07.2017,,ДИ,0188232,,
69483,75985,603,,07.07.2017,,ДИ,0188234,,
69484,75986,603,,07.07.2017,,ДИ,0188226,,
69485,75987,603,,07.07.2017,,ДИ,0188233,,
69486,75988,603,,07.07.2017,,ДЕ,0510149,,
69487,75989,603,,07.07.2017,,ДИ,0188229,,
69488,75990,603,,07.07.2017,,ДИ,0188228,,
69489,75991,603,,07.07.2017,,ДИ,0188230,,
69490,75992,603,,07.07.2017,,ДИ,0188222,,
69491,75993,603,,08.07.2017,,ДИ,0188235,,
69492,75994,603,,08.07.2017,,ДИ,0188236,,
69493,75995,603,,08.07.2017,,ДЕ,0510151,,
69494,75996,603,,08.07.2017,,ДИ,0188237,,
69495,75997,603,,09.07.2017,,ДИ,0188239,,
69496,75998,603,,09.07.2017,,ДИ,0188238,,
69497,75999,603,,10.07.2017,,ДИ,0188260,,
69498,76000,603,,10.07.2017,,ДИ,0188261,,
